ACT_LED1:1
C1:1
C2:1
C3:1
C4:1
CMPS14-1:1
G***:5
H1:1
H3:1
H4:1
H5:1
H6:1
J1:1
J2:1
J3:1
J4:1
J6:1
J7:1
J8:1
J9:1
R1:1
R2:1
R3:1
R4:1
R5:1
R7:1
R8:1
REF**:1
RUN_LED1:1
Taster_LED1:1
Taster_LED2:1
U1:1
U2:1
U3:1
U4:1
U5:1
U6:1
U7:1
U8:1
U9:1
